id,file,line,column,rule,message,status
1,src/__tests__/playwright/harness/spell-harness.js,93,11,@typescript-eslint/no-this-alias,Unexpected aliasing of 'this' to local variable.,done
2,src/__tests__/playwright/harness/spell-harness.js,574,16,@typescript-eslint/no-unused-vars,'_2' is assigned a value but never used.,done
3,src/__tests__/playwright/harness/spell-harness.js,1346,16,@typescript-eslint/no-this-alias,Unexpected aliasing of 'this' to local variable.,done
4,src/__tests__/playwright/harness/spell-harness.js,1527,16,@typescript-eslint/no-unused-vars,'_2' is assigned a value but never used.,done
5,src/__tests__/playwright/harness/spell-harness.js,1637,11,@typescript-eslint/no-this-alias,Unexpected aliasing of 'this' to local variable.,done
6,src/__tests__/playwright/harness/spell-harness.js,1743,16,no-irregular-whitespace,Irregular whitespace not allowed.,done
7,src/__tests__/playwright/harness/spell-harness.js,2008,44,@typescript-eslint/no-unused-vars,'name' is defined but never used. Allowed unused args must match /^_/u.,done
8,src/__tests__/playwright/harness/spell-harness.js,2209,16,@typescript-eslint/no-unused-vars,'_2' is assigned a value but never used.,done
9,src/__tests__/playwright/harness/spell-harness.js,2310,7,@typescript-eslint/no-unused-expressions,Expected an assignment or function call and instead saw an expression.,done
10,src/__tests__/playwright/harness/spell-harness.js,2638,42,no-control-regex,Unexpected control character(s) in regular expression: \x0c.,done
11,src/__tests__/playwright/harness/spell-harness.js,2655,44,no-prototype-builtins,Do not access Object.prototype method 'hasOwnProperty' from target object.,done
12,src/__tests__/playwright/harness/spell-harness.js,2710,62,no-control-regex,Unexpected control character(s) in regular expression: \x0c.,done
13,src/__tests__/playwright/harness/spell-harness.js,2712,33,no-control-regex,Unexpected control character(s) in regular expression: \x0c.,done
14,src/__tests__/playwright/harness/spell-harness.js,2713,15,no-control-regex,Unexpected control character(s) in regular expression: \x0c.,done
15,src/__tests__/playwright/harness/spell-harness.js,2719,37,no-control-regex,Unexpected control character(s) in regular expression: \x0c.,done
16,src/__tests__/playwright/harness/spell-harness.js,2754,20,no-prototype-builtins,Do not access Object.prototype method 'hasOwnProperty' from target object.,done
17,src/__tests__/playwright/harness/spell-harness.js,2758,48,no-prototype-builtins,Do not access Object.prototype method 'hasOwnProperty' from target object.,done
18,src/__tests__/playwright/harness/spell-harness.js,2766,23,no-prototype-builtins,Do not access Object.prototype method 'hasOwnProperty' from target object.,done
19,src/__tests__/playwright/harness/spell-harness.js,3066,28,no-prototype-builtins,Do not access Object.prototype method 'hasOwnProperty' from target object.,done
20,src/__tests__/playwright/harness/spell-harness.js,3241,32,no-undef,'window' is not defined.,done
21,src/__tests__/playwright/harness/spell-harness.js,3633,11,@typescript-eslint/no-unused-vars,'other' is defined but never used. Allowed unused args must match /^_/u.,done
22,src/__tests__/playwright/harness/spell-harness.js,4603,11,no-useless-assignment,The value assigned to 'fits' is not used in subsequent statements.,done
23,src/__tests__/playwright/harness/spell-harness.js,4654,14,@typescript-eslint/no-unused-expressions,Expected an assignment or function call and instead saw an expression.,done
24,src/__tests__/playwright/harness/spell-harness.js,5141,9,@typescript-eslint/no-unused-vars,'mapping' is defined but never used. Allowed unused args must match /^_/u.,done
25,src/__tests__/playwright/harness/spell-harness.js,5635,7,no-undef,'console' is not defined.,done
26,src/__tests__/playwright/harness/spell-harness.js,6271,31,no-prototype-builtins,Do not access Object.prototype method 'hasOwnProperty' from target object.,done
27,src/__tests__/playwright/harness/spell-harness.js,6709,9,no-useless-assignment,The value assigned to 'atEnd' is not used in subsequent statements.,done
28,src/__tests__/playwright/harness/spell-harness.js,6710,9,no-useless-assignment,The value assigned to 'atStart' is not used in subsequent statements.,done
29,src/__tests__/playwright/harness/spell-harness.js,6959,7,@typescript-eslint/no-unused-vars,'mac' is assigned a value but never used.,done
30,src/__tests__/playwright/harness/spell-harness.js,6961,35,no-undef,'navigator' is not defined.,done
31,src/__tests__/playwright/harness/spell-harness.js,6962,37,no-undef,'os' is not defined.,done
32,src/__tests__/playwright/harness/spell-harness.js,6963,11,no-undef,'os' is not defined.,done
33,src/__tests__/playwright/harness/spell-harness.js,7172,47,no-undef,'document' is not defined.,done
34,src/__tests__/playwright/harness/spell-harness.js,7279,17,no-undef,'document' is not defined.,done
35,src/__tests__/playwright/harness/spell-harness.js,7296,16,@typescript-eslint/no-unused-vars,'_2' is defined but never used.,done
36,src/__tests__/playwright/harness/spell-harness.js,7296,20,no-empty,Empty block statement.,done
37,src/__tests__/playwright/harness/spell-harness.js,7307,47,no-undef,'navigator' is not defined.,done
38,src/__tests__/playwright/harness/spell-harness.js,7308,47,no-undef,'document' is not defined.,done
39,src/__tests__/playwright/harness/spell-harness.js,7315,7,no-undef,'document' is not defined.,done
40,src/__tests__/playwright/harness/spell-harness.js,7322,3,@typescript-eslint/no-unused-expressions,Expected an assignment or function call and instead saw an expression.,done
41,src/__tests__/playwright/harness/spell-harness.js,7333,37,no-undef,'navigator' is not defined.,done
42,src/__tests__/playwright/harness/spell-harness.js,7409,35,no-undef,'getComputedStyle' is not defined.,done
43,src/__tests__/playwright/harness/spell-harness.js,7420,21,no-undef,'innerHeight' is not defined.,done
44,src/__tests__/playwright/harness/spell-harness.js,7547,17,no-undef,'document' is not defined.,done
